sample_id,source_image_path
000000000000,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000000.jpg
000000000001,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000001.jpg
000000000002,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000002.jpg
000000000003,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000003.jpg
000000000004,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000004.jpg
000000000005,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000005.jpg
000000000006,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000006.jpg
000000000007,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000007.jpg
000000000008,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000008.jpg
000000000009,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000009.jpg
000000000010,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000010.jpg
000000000011,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000011.jpg
000000000012,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000012.jpg
000000000013,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000013.jpg
000000000014,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000014.jpg
000000000015,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000015.jpg
000000000016,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000016.jpg
000000000017,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000017.jpg
000000000018,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000018.jpg
000000000019,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000019.jpg
000000000020,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000020.jpg
000000000021,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000021.jpg
000000000022,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000022.jpg
000000000023,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000023.jpg
000000000024,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000024.jpg
000000000025,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000025.jpg
000000000026,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000026.jpg
000000000027,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000027.jpg
000000000028,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000028.jpg
000000000029,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000029.jpg
000000000030,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000030.jpg
000000000031,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000031.jpg
000000000032,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000032.jpg
000000000033,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000033.jpg
000000000034,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000034.jpg
000000000035,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000035.jpg
000000000036,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000036.jpg
000000000037,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000037.jpg
000000000038,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000038.jpg
000000000039,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000039.jpg
000000000040,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000040.jpg
000000000041,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000041.jpg
000000000042,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000042.jpg
000000000043,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000043.jpg
000000000044,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000044.jpg
000000000045,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000045.jpg
000000000046,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000046.jpg
000000000047,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000047.jpg
000000000048,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000048.jpg
000000000049,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000049.jpg
000000000050,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000050.jpg
000000000051,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000051.jpg
000000000052,/shared/ssd_30T/mirick/datasets/PIE-Bench_v1/annotation_images/0_random_140/000000000052.jpg
